date,Large,Medium,Micro,Small
2021-07-01,33057.02793981493,5397.094095407192,428.9746102105363,733.0689483065153
2021-08-01,31941.993993532415,5500.57029815337,514.9844212352295,773.8766817459804
2021-09-01,32355.268350181515,5365.518790138069,476.7869950294465,986.5388835746313
2021-10-01,31369.932207620925,5450.930454578355,421.1686963186283,896.5636374699313
2021-11-01,30698.50455644802,6058.732274098059,741.1545842689154,506.5503229150539
2021-12-01,31289.190920742276,5485.199017044903,192.39701389798338,835.8681975077355
2022-01-01,32727.530641011388,5468.366473181104,180.24030561461504,848.3735912066581
2022-02-01,36287.70867159199,5936.614594718331,207.3471675828558,1055.8165980155031
2022-03-01,39526.04446640167,5954.08481522741,302.6439566047786,1052.2558677152097
2022-04-01,43497.16774659604,6186.991174681794,399.1322800507669,1360.3949827910778
2022-05-01,41791.53491033928,5889.065029064807,688.6474014391097,1349.3097226715374
2022-06-01,40778.793895264345,5887.038268965121,572.0853444413416,1370.0310135978025
2022-07-01,37826.566911926624,6265.074674411226,327.70764013663035,1033.658092991939
2022-08-01,38394.49862281387,6527.973025376178,517.0641411703123,1306.6832740648094
2022-09-01,36724.943642217244,6115.101365649817,488.3769236494,1290.0642969262794
2022-10-01,36263.11915164784,6043.87563302439,498.0819885307621,1259.5174170861342
2022-11-01,35755.24530312076,6053.239237237765,1267.3935074662672,1195.1219601786477
2022-12-01,34464.0522365902,6476.58658455671,1360.8288136361475,1007.2232815340135
2023-01-01,33782.47176549715,6397.44468975297,1267.994634328843,842.195005953753
2023-02-01,34708.50428559444,6670.287448736624,1269.152182151572,798.9224656991981
2023-03-01,35252.0968429901,6545.154815183128,1235.7620195069499,1257.9988538688715
2023-04-01,37476.45228213319,6722.931497848315,1216.916747962247,1297.7876284170993
2023-05-01,38515.93156755768,6869.901560940154,1172.3751182670605,1462.466423709732
2023-06-01,40013.24691794645,7013.234199074131,998.7875851185966,1454.1671072406805
2023-07-01,39836.88683282041,6998.744524630371,148.6864533054959,1295.2636701135148
2023-08-01,37681.49044429848,7105.26794126712,156.6562563749976,1229.5454465573025
2023-09-01,36282.9085251732,6891.462356045625,176.21296906848937,1045.2002744130832
2023-10-01,34358.62337910921,6605.986680611511,144.73883999049795,1084.4884744412934
2023-11-01,35519.73944483118,7042.467348578489,149.5527925316499,1074.3929486140023
2023-12-01,35485.98510866433,7102.2621365466775,165.34171076084823,1052.2330492807307
2024-01-01,35955.69420484985,7024.080061009861,210.09715662537818,1062.5767840966096
2024-02-01,35992.99174857153,6977.322200792588,215.32837157260303,999.3258918157076
2024-03-01,36432.39083504989,7306.473091242456,242.99578407823216,918.8795648830658
2024-04-01,37390.77090468416,6871.072065785099,158.12313036439986,1017.3558332303137
2024-05-01,38753.528003958396,6980.737406944999,137.84703720719625,783.2375067920817
2024-06-01,38393.87365451926,6869.746974473766,212.6454817287217,780.2193308594897
2024-07-01,37957.17382985996,6873.836992928564,219.43133240265007,705.4407551491946
2024-08-01,38211.43868952064,6929.391898885704,242.09748549085083,668.7771901115519
2024-09-01,38443.12188880212,6948.488536648922,174.91021640266027,452.47827728084326
2024-10-01,38412.01707449922,7039.992692102052,195.68713550916328,472.968249217704
2024-11-01,37108.3689101807,6745.354223691943,166.68557797197545,526.1902611437129
2024-12-01,35624.488485882284,6567.65816356222,164.3105954879891,459.821433286393
