date,BA,GO,MG,MT,PA,PR,RJ,RS,SC,SP
2020-01-01,1010.2979441770085,839.07689317365,3303.344965209752,3034.6674039616605,715.8501986447374,2775.9617597178444,3707.2477503094797,2892.345862778341,1960.6374072975173,20442.013796812862
2020-02-01,970.2000460209874,810.2542882367591,3260.474440549526,3070.242205551505,693.1280021730668,2785.10232901677,3647.3810004329107,2844.1977134077883,1899.3514919693105,19703.091133570062
2020-03-01,1156.9379595340613,889.2194529877638,3380.0614181447568,3359.3153744129327,665.1114260391404,3511.539465088393,4770.821590541319,2857.5257529010564,1930.3606836721185,20394.50442592153
2020-04-01,1217.527433352395,847.7999355941854,3518.4973776358024,3372.5590308404626,631.6074170800476,3422.3021397806783,4875.388824826734,2755.3329432834093,1973.8952869951752,18964.704407248126
2020-05-01,1119.2657283057317,803.9379915503691,3336.1152155028053,3269.681169125534,744.6301640855246,3121.239326090536,4626.32739935316,2638.000770810849,1902.0470718962931,17969.699012034722
2020-06-01,1370.789204063899,828.544680554927,3388.2147493675398,3622.6912324088066,753.8328136189509,3207.7624533934304,4857.189440492148,2810.2141478946787,1991.8159665646328,18779.104805810988
2020-07-01,1055.9591216827955,828.5385238112915,3428.2562232091254,3434.65461864128,685.5407411078422,3061.8838650248945,4665.077789650952,2665.075021799017,1814.327747812521,17500.89277073286
2020-08-01,939.221067885353,777.3691193017365,3510.014977609743,3311.3657239334757,673.3958601630985,2899.032178871935,4463.376963599269,2514.9777158270836,1733.582120036267,16773.013254571408
2020-09-01,874.877712440782,776.1966986436632,3527.065582693895,3340.3186991211714,707.8927418496535,2750.496255207328,4461.526464106172,2428.7529811974,1706.8726413918014,16048.18692006363
2020-10-01,762.7262856881283,712.9635954003334,3216.1767580312862,3244.9052879138276,678.329563476078,2639.0861590915238,4259.881103621391,2276.6524115114316,1628.5273649690066,15267.907476570572
2020-11-01,824.6547418397028,724.1292361638365,3261.477844645839,3138.6949275912903,675.6752725698626,2583.7535536634487,4282.720423732773,2283.564729571452,1473.7504009462396,15565.229691026889
2020-12-01,820.1195875232876,701.1118882184358,3284.9459881417565,3167.107297339427,706.991204914727,2775.730060820865,4345.402871754706,2314.0811939991613,1459.0837478320966,15610.001791138686
2021-01-01,888.2732589420417,704.6844972309359,3051.410571239451,3180.9227026495587,723.3673230301001,2720.49320973187,4213.940557050561,2214.314182896407,1423.66034557846,15409.327796667041
2021-02-01,902.8273337753659,760.0501237118011,3011.4490707074415,2893.387612824399,687.0180695227787,2808.5066530530316,4125.8685174100565,2151.3676300570132,1394.0758177098758,16070.292590480907
2021-03-01,910.8766514481858,889.7814614737139,3141.5199313352737,2265.0810727638823,685.7625349744613,2918.6763909314004,3272.01483254061,2277.5057348144073,1529.9767558100643,16189.520974243764
2021-04-01,962.8709682183064,1020.1040355135771,3173.018348378642,2596.123140068344,694.3713794806652,2930.990920283698,3434.079058486552,2386.202584703689,1545.785359505963,16758.354681013458
2021-05-01,1054.469692120591,1129.8365992312945,3284.6009153629343,2612.2103999207625,702.2444132406181,3043.4920585421132,3644.568465279312,2677.0690974601753,1612.6982485925566,17785.325627035738
2021-06-01,946.7627953125478,1094.7450752677491,3519.0609607586916,2549.5601689223786,770.6454814506371,3321.3187770290187,2921.4575793655904,2988.41584922997,1845.3734820687696,18338.522877716623
