period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,103,BAHRAIN,324.0,0.0,119.0,0.0,324.0,117.0,0.0,207.0
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,104,BERMUDA,6455.0,29.0,2477.0,11.0,6495.0,553.0,257.0,6198.0
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,105,CAYMAN ISLANDS,83429.0,176.0,56131.0,1.0,83606.0,29323.0,4248.0,58532.0
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,106,HONG KONG,3665.0,718.0,3668.0,1718.0,6101.0,688.0,762.0,6175.0
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,107,LEBANON,51.0,0.0,41.0,0.0,51.0,6.0,0.0,45.0
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,108,MAURITIUS,113.0,0.0,87.0,0.0,113.0,18.0,2.0,97.0
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,109,PANAMA,1424.0,1.0,1024.0,0.0,1425.0,745.0,113.0,793.0
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,110,SINGAPORE,14432.0,368.0,11569.0,1687.0,16487.0,4933.0,335.0,11881.0
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,111,OTHER BANKING CENTERS,5076.0,89.0,2603.0,35.0,5200.0,340.0,530.0,5391.0
2023Q1,2023,Q1,Table 2,2,All Others,International & Regional Organizations,country_data,115,AFRICAN,1309.0,0.0,339.0,0.0,1309.0,0.0,0.0,1309.0
2023Q1,2023,Q1,Table 2,2,All Others,International & Regional Organizations,country_data,119,INTERNATIONAL,7689.0,0.0,1596.0,0.0,7689.0,0.0,0.0,7688.0
2023Q1,2023,Q1,Table 2,2,All Others,International & Regional Organizations,country_data,120,LATIN AMERICAN,4756.0,0.0,759.0,0.0,4756.0,0.0,0.0,4756.0
2023Q1,2023,Q1,Table 2,2,All Others,International & Regional Organizations,country_data,124,UNITED STATES,48589.0,200068.0,36455.0,7061762.0,7310419.0,230954.0,199797.0,7285487.0
