"date","bank_type","tf_usd_millions"
2021-12-01,"Foreign",2258.45111831854
2021-12-01,"Large Domestic",681.325898721612
2021-12-01,"Other Domestic",2146.25171583446
2022-01-01,"Consumer/Retail",0
2022-01-01,"Foreign",2410.84611629335
2022-01-01,"Large Domestic",691.256449098572
2022-01-01,"Other Domestic",2191.11285055543
2022-02-01,"Consumer/Retail",0
2022-02-01,"Foreign",2511.89724301562
2022-02-01,"Large Domestic",681.346273488334
2022-02-01,"Other Domestic",2130.0314022665
2022-03-01,"Consumer/Retail",0
2022-03-01,"Foreign",2806.78725291729
2022-03-01,"Large Domestic",626.514843514282
2022-03-01,"Other Domestic",2226.18568694734
2022-04-01,"Consumer/Retail",0
2022-04-01,"Foreign",2888.1494173096
2022-04-01,"Large Domestic",646.319438799979
2022-04-01,"Other Domestic",2303.77976376479
2022-05-01,"Consumer/Retail",0
2022-05-01,"Foreign",2971.42886436822
2022-05-01,"Large Domestic",758.47180866843
2022-05-01,"Other Domestic",2322.51994293733
2022-06-01,"Consumer/Retail",0
2022-06-01,"Foreign",2945.80383293598
2022-06-01,"Large Domestic",749.07202659922
2022-06-01,"Other Domestic",2583.78461052728
2022-07-01,"Consumer/Retail",0
2022-07-01,"Foreign",2982.94073570008
2022-07-01,"Large Domestic",894.802780881603
2022-07-01,"Other Domestic",2754.48643522078
2022-08-01,"Consumer/Retail",0
2022-08-01,"Foreign",2961.00053892977
2022-08-01,"Large Domestic",840.15927484334
2022-08-01,"Other Domestic",2718.86110718687
2022-09-01,"Consumer/Retail",0
2022-09-01,"Foreign",2849.59488385793
2022-09-01,"Large Domestic",844.747103348394
2022-09-01,"Other Domestic",2512.55469364458
2022-10-01,"Consumer/Retail",0
2022-10-01,"Foreign",2829.69361502593
2022-10-01,"Large Domestic",823.168103219664
2022-10-01,"Other Domestic",2403.89009711608
2022-11-01,"Consumer/Retail",0
2022-11-01,"Foreign",2859.74047435725
2022-11-01,"Large Domestic",899.913580861331
2022-11-01,"Other Domestic",2384.01151305747
2022-12-01,"Consumer/Retail",0
2022-12-01,"Foreign",2630.01576881684
2022-12-01,"Large Domestic",871.324167451247
2022-12-01,"Other Domestic",2556.24558989306
2023-01-01,"Consumer/Retail",0
2023-01-01,"Foreign",2786.58791650601
2023-01-01,"Large Domestic",832.187430122892
2023-01-01,"Other Domestic",2639.60372266102
2023-02-01,"Consumer/Retail",0
2023-02-01,"Foreign",3024.76278506647
2023-02-01,"Large Domestic",846.323624389154
2023-02-01,"Other Domestic",2541.64439839735
2023-03-01,"Consumer/Retail",0
2023-03-01,"Foreign",3082.26572846816
2023-03-01,"Large Domestic",784.395621186351
2023-03-01,"Other Domestic",2493.24172619858
