period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,74,INDONESIA,1603.0,4781.0,6384.0,9192.0,2552.0,2154.0,5811.0,170.0,2402.0,0.0,2121.0,2402.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,75,"KOREA, SOUTH",4137.0,18118.0,22255.0,36764.0,21042.0,10721.0,45137.0,223.0,13106.0,0.0,2913.0,13106.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,76,KUWAIT,30.0,187.0,217.0,7315.0,-10.0,121.0,683.0,1.0,16661.0,0.0,0.0,16661.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,77,MALAYSIA,5394.0,5359.0,10753.0,14457.0,4243.0,3526.0,2070.0,38.0,4493.0,0.0,4398.0,4493.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,78,PAKISTAN,36.0,950.0,986.0,1197.0,-17.0,629.0,125.0,30.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,79,PHILIPPINES,2098.0,3649.0,5747.0,7327.0,1278.0,1459.0,1344.0,63.0,1423.0,0.0,1165.0,1423.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,80,QATAR,36.0,65.0,101.0,13679.0,-84.0,138.0,1064.0,111.0,2125.0,0.0,1569.0,2125.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,81,SAUDI ARABIA,241.0,642.0,883.0,33731.0,1023.0,71.0,8190.0,176.0,8132.0,0.0,43.0,8132.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,82,TAIWAN,6710.0,7500.0,14210.0,34498.0,3640.0,713.0,32306.0,784.0,20925.0,0.0,626.0,20917.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,83,THAILAND,1714.0,5986.0,7700.0,11038.0,1836.0,4328.0,3313.0,118.0,2185.0,0.0,2011.0,2185.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,84,UNITED ARAB EMIRATES,12899.0,4660.0,17559.0,20150.0,3005.0,5579.0,3502.0,142.0,17882.0,0.0,556.0,17882.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,85,WEST BANK AND GAZA,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,86,OTHER ASIA AND PACIFIC,3123.0,3315.0,6438.0,20428.0,-645.0,776.0,2258.0,161.0,635.0,0.0,41.0,635.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,subtotal,87,Total,47416.0,129025.0,176441.0,311146.0,78391.0,52278.0,228183.0,3156.0,118132.0,1.0,20677.0,118112.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,empty,88,,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Africa,region_header,89,Africa,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Africa,country_data,90,ALGERIA,114.0,1059.0,1173.0,960.0,232.0,673.0,7.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Africa,country_data,91,EGYPT,393.0,1026.0,1419.0,1962.0,375.0,581.0,10254.0,54.0,936.0,0.0,936.0,936.0
2024Q2,2024,Q2,Table 3,3,All Banks,Africa,country_data,92,GHANA,0.0,0.0,0.0,192.0,0.0,0.0,105.0,13.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Africa,country_data,93,KENYA,439.0,523.0,962.0,1393.0,-139.0,212.0,143.0,19.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Africa,country_data,94,MOROCCO,282.0,722.0,1004.0,943.0,-378.0,462.0,127.0,42.0,0.0,0.0,0.0,0.0
